"S.N.","Project Code","Partner Institution","Partner Code","Name of the Project","State","State Code","Project District","District Code","New Local Unit","Local Unit code","Branch","BLB","Extension Counter","Tablet","Other Major Products (Local units coverage)","Beneficiaries","S-CF Funds","Allocated Funds to Local Units","Allocated Beneficiaries at Local Units","Female Pct","Total Beneficiaries","Female Beneficiaries","Status","Start date","End Date","Project Year"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Makwanpur",31,"Thaha",342,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
3,"1-2-060","Siddhartha Bank Ltd",42,"Gorkha Earthquake : Branchless Banking Support Programme","Bagmati",3,"Sindhuli",20,"Golanjor",231,0,1,0,0,0,0,0,675142.116428571,262.5,39,263,103,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Makwanpur",31,"Hetauda",336,0,1,0,0,0,4740,9320100,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Nuwakot",28,"Dupcheshwor",303,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Makwanpur",31,"Bagmati",333,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Gandaki",4,"Gorkha",36,"Palungtar",410,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Province 1",1,"Okhaldhunga",13,"Sunkoshi",120,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Gandaki",4,"Gorkha",36,"Gorkha",409,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Province 1",1,"Okhaldhunga",13,"Champadevi",113,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Ramechhap",21,"Ramechhap",243,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Dhading",30,"Jwalamukhi",325,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Dhading",30,"Gajuri",322,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Nuwakot",28,"Bidur",302,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Kavrepalanchowk",24,"Chauri Deurali",270,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Nuwakot",28,"Likhu",306,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Province 1",1,"Okhaldhunga",13,"Khijidemba",115,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Gandaki",4,"Gorkha",36,"Bhimsen",405,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Province 1",1,"Okhaldhunga",13,"Molung",118,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Dhading",30,"Netrawati",327,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Ramechhap",21,"Manthali",242,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Ramechhap",21,"Khandadevi",240,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Dhading",30,"Ganga Jamuna",324,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Sindhuli",20,"Kamalamai",233,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Bagmati",3,"Dolakha",22,"Kalinchowk",251,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
4,"1-2-056","Rastriya Banijya Bank Limited",36,"Establishment of Branchless Banking","Province 1",1,"Okhaldhunga",13,"Siddhicharan",119,0,1,0,0,0,0,0,405221.739130435,206.086956521739,42,206,87,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Gandaki",4,"Gorkha",36,"Aarughat",403,0,1,0,0,0,7506,5452717.3,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Gandaki",4,"Gorkha",36,"Bhimsen",405,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Kavrepalanchowk",24,"Bhumlu",269,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Ramechhap",21,"Doramba",238,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Gandaki",4,"Gorkha",36,"Gorkha",409,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Nuwakot",28,"Kispang",305,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Kavrepalanchowk",24,"Namo Buddha",275,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Dolakha",22,"Baiteshwor",246,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Dolakha",22,"Bigu",248,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Nuwakot",28,"Belkotgadi",301,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Makwanpur",31,"Indrasarowar",337,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Sindhupalchowk",23,"Melamchi",263,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Kavrepalanchowk",24,"Chauri Deurali",270,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Ramechhap",21,"Manthali",242,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Ramechhap",21,"Umakunda",245,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Ramechhap",21,"Ramechhap",243,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Ramechhap",21,"Likhu",241,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Nuwakot",28,"Meghang",307,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Sindhuli",20,"Sunkoshi",236,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Sindhupalchowk",23,"Tripura Sundari",266,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
5,"1-2-054","Nepal Investment Bank Limited",27,"NIBL Branchless Banking","Bagmati",3,"Kavrepalanchowk",24,"Temal",279,0,1,0,0,0,0,0,259653.204761905,357.428571428571,26,357,93,"Completed","2015-07-02","2018-07-01","Completed"
6,"1-2-059","NMB Bank Ltd",33,"Branchless Banking Expansion Project","Bagmati",3,"Dolakha",22,"Tamakoshi",254,0,1,0,0,0,94,4592140.57,1148035.1425,23.5,50,24,12,"Completed","2015-08-25","2018-08-24","Completed"
6,"1-2-059","NMB Bank Ltd",33,"Branchless Banking Expansion Project","Bagmati",3,"Ramechhap",21,"Likhu",241,0,1,0,0,0,0,0,1148035.1425,23.5,50,24,12,"Completed","2015-08-25","2018-08-24","Completed"
6,"1-2-059","NMB Bank Ltd",33,"Branchless Banking Expansion Project","Bagmati",3,"Ramechhap",21,"Manthali",242,0,1,0,0,0,0,0,1148035.1425,23.5,50,24,12,"Completed","2015-08-25","2018-08-24","Completed"
6,"1-2-059","NMB Bank Ltd",33,"Branchless Banking Expansion Project","Bagmati",3,"Rasuwa",29,"Gosaikunda",315,0,1,0,0,0,0,0,1148035.1425,23.5,50,24,12,"Completed","2015-08-25","2018-08-24","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Baitadi",74,"Dasharathchand",746,0,1,0,0,0,13246,16673520.35,1389460.02916667,1103.83333333333,55,1104,607,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Baitadi",74,"Melauli",749,0,1,0,0,0,0,0,1389460.02916667,1103.83333333333,55,1104,607,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Baitadi",74,"Dogadakedar",748,0,1,0,0,0,0,0,1389460.02916667,1103.83333333333,55,1104,607,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Baitadi",74,"Patan",751,0,0,1,0,0,0,0,2778920.05833333,2207.66666666667,55,2208,1214,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Dadeldhura",73,"Parshuram",745,0,0,1,0,0,0,0,2778920.05833333,2207.66666666667,55,2208,1214,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Dadeldhura",73,"Aalitaal",740,0,1,0,0,0,0,0,1389460.02916667,1103.83333333333,55,1104,607,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Dadeldhura",73,"Ganyapdhura",743,0,1,0,0,0,0,0,1389460.02916667,1103.83333333333,55,1104,607,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Kailali",71,"Godawari",722,0,1,0,0,0,0,0,1389460.02916667,1103.83333333333,55,1104,607,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Sudurpaschim",7,"Kailali",71,"Mohanyal",727,0,1,0,0,0,0,0,1389460.02916667,1103.83333333333,55,1104,607,"Completed","2015-05-01","2018-04-30","Completed"
7,"1-1-046","Global IME Bank",9,"Banking Solution Through Alternative Delivery Channels In Far Western and Mid Western Development Regions of Nepal","Karnali",6,"Kalikot",64,"Khadachakra",653,0,1,0,0,0,0,0,1389460.02916667,1103.83333333333,55,1104,607,"Completed","2015-05-01","2018-04-30","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Province 5",5,"Bardiya",58,"Rajapur",606,1,0,0,0,0,23884,64669710,10778285,3980.66666666667,21,3981,836,"Completed","2015-06-10","2018-06-09","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Province 5",5,"Bardiya",58,"Geruwa",603,0,1,0,0,0,0,0,5389142.5,1990.33333333333,21,1990,418,"Completed","2015-06-10","2018-06-09","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Sudurpaschim",7,"Kailali",71,"Lamki Chuha",726,0,1,0,0,0,0,0,5389142.5,1990.33333333333,21,1990,418,"Completed","2015-06-10","2018-06-09","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Province 5",5,"Pyuthan",55,"Pyuthan",550,0,1,0,0,0,0,0,5389142.5,1990.33333333333,21,1990,418,"Completed","2015-06-10","2018-06-09","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Province 5",5,"Dang",56,"Rapti",588,0,1,0,0,0,0,0,5389142.5,1990.33333333333,21,1990,418,"Completed","2015-06-10","2018-06-09","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Province 5",5,"Rupandehi",48,"Devdaha",512,1,0,0,0,0,0,0,10778285,3980.66666666667,21,3981,836,"Completed","2015-06-10","2018-06-09","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Province 5",5,"Rupandehi",48,"Tilotamma",526,0,1,0,0,0,0,0,5389142.5,1990.33333333333,21,1990,418,"Completed","2015-06-10","2018-06-09","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Sudurpaschim",7,"Kanchanpur",72,"Belauri",730,1,0,0,0,0,0,0,10778285,3980.66666666667,21,3981,836,"Completed","2015-06-10","2018-06-09","Completed"
8,"1-2-050","Bank of Kathmandu",2,"Extending Access to Finance to the un/underbanked customers","Sudurpaschim",7,"Kanchanpur",72,"Laljhadi",734,0,1,0,0,0,0,0,5389142.5,1990.33333333333,21,1990,418,"Completed","2015-06-10","2018-06-09","Completed"
9,"0-0-010","Bank of Kathmandu",2,"Sugarcane Invoice Discounting","Sudurpaschim",7,"Kanchanpur",72,"Belauri",730,0,0,0,0,1,1606,15119775.6,15119775.6,1606,3,1606,48,"Completed","2015-01-23","2018-01-22","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Sudurpaschim",7,"Achham",69,"Bannigadi Jayagadh",695,0,1,0,0,0,7660,34485304.25,2224858.33870968,494.193548387097,48,494,237,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Sudurpaschim",7,"Achham",69,"Chaurpati",696,0,1,0,0,0,0,0,2224858.33870968,494.193548387097,48,494,237,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Sudurpaschim",7,"Achham",69,"Sanfebagar",703,1,0,0,0,0,0,0,4449716.67741936,988.387096774193,48,988,474,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Sudurpaschim",7,"Dadeldhura",73,"Aalitaal",740,0,1,0,0,0,0,0,2224858.33870968,494.193548387097,48,494,237,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Sudurpaschim",7,"Dadeldhura",73,"Amargadhi",741,0,0,0,0,1,0,0,1112429.16935484,247.096774193548,48,247,119,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Sudurpaschim",7,"Dadeldhura",73,"Parshuram",745,1,0,0,0,0,0,0,4449716.67741936,988.387096774193,48,988,474,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Province 5",5,"Dang",56,"Tulsipur",590,0,1,0,0,0,0,0,2224858.33870968,494.193548387097,48,494,237,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Province 5",5,"Dang",56,"Ghorahi",585,0,1,0,0,0,0,0,2224858.33870968,494.193548387097,48,494,237,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Sudurpaschim",7,"Kailali",71,"Joshipur",724,0,1,0,0,0,0,0,2224858.33870968,494.193548387097,48,494,237,"Completed","2015-02-25","2018-02-24","Completed"
10,"0-0-014/15","Mega Bank Ltd",21,"Complete Banking Solution to Rural Populace through Branches, BLB and Alternative Channels","Sudurpaschim",7,"Kailali",71,"Kailari",725,0,1,0,0,0,0,0,2224858.33870968,494.193548387097,48,494,237,"Completed","2015-02-25","2018-02-24","Completed"
